TimeWindow, Flight, RiskCategory, O57, O58, O59, O60, O61, O62, O63, O64
240, Flight56, LOWRISK2, 0.9999999999570691, 1.0525730522625405E-11, 1.0524810386407669E-11, 6.612808023500165E-12, 3.7149382197449774E-12, 6.61288510075837E-12, 3.7149622269497554E-12, 3.7148208604761675E-12
240, Flight56, LOWRISK3, 0.9999999999269799, 1.7482406222018204E-11, 1.7480872265624813E-11, 1.0997408329825962E-11, 6.184044617567206E-12, 1.0997638649184978E-11, 6.184117519891657E-12, 6.183848926501446E-12
240, Flight56, LOWRISK4, 0.99999999995707, 1.0525499430010658E-11, 1.0524579283203773E-11, 6.61268781348513E-12, 3.714892255065546E-12, 6.6127817406129284E-12, 3.71492168737084E-12, 3.7147749836288375E-12
240, Flight57, SELECTEE, 1.3885523108217494E-11, 1.2611505353447494E-9, 1.2666992660780235E-9, 0.08034616999315326, 0.4601718115377978, 0.019653826566629673, 0.02366301383232679, 0.4161651755308472
240, Flight57, UNKNOWN, 0.699999999997347, 0.26356572251116156, 0.03643427749014777, 1.2963964470595153E-12, 4.1373858018233687E-13, 1.2963837148455368E-12, 4.1373714126124157E-13, 4.1371142803906215E-13
240, Flight57, LOWRISK1, 0.4494604551267991, 0.49707085945732166, 0.053468685411092336, 2.460544503950934E-12, 7.852646011117149E-13, 2.460509962095565E-12, 7.852608021134021E-13, 7.852130775439302E-13
240, Flight57, LOWRISK2, 0.39999999998775265, 0.45399873855054074, 0.14600126144543074, 6.345499929325522E-12, 2.02514769213096E-12, 6.345332985788618E-12, 2.0251297600923464E-12, 2.0250148230500385E-12
240, Flight57, LOWRISK3, 0.40000000000708497, 0.36813633988809313, 0.23186366006274695, 1.5068812533505893E-11, 4.8095234247269095E-12, 1.506810997349463E-11, 4.809447688882534E-12, 4.809211443338693E-12
240, Flight57, LOWRISK4, 0.9999999996114283, 1.723012981344623E-10, 1.722886432194669E-10, 1.5383375265981244E-11, 5.2350895665308404E-12, 1.538341966211029E-11, 5.2350976673605695E-12, 5.234820877459614E-12
240, Flight58, SELECTEE, 1.879439922860035E-12, 1.399236123231446E-9, 1.697079005601722E-9, 0.6505966391332009, 1.338350759987321E-10, 0.3494033573707629, 1.3293011140339664E-10, 1.3356643923712973E-10
240, Flight58, UNKNOWN, 0.9999999999988972, 8.733020209644954E-13, 8.731980983565815E-13, 5.122141435966647E-13, 2.740222602441842E-13, 5.122131925234428E-13, 2.740219346794929E-13, 2.7401290940088526E-13
240, Flight58, LOWRISK1, 0.9999999999967478, 1.3603788708371526E-12, 1.3602576736628252E-12, 8.284152243092846E-13, 4.549799400195643E-13, 8.28415232500728E-13, 4.549798197676608E-13, 4.549655960896156E-13
240, Flight58, LOWRISK2, 0.9999999999796289, 5.3106268797518616E-12, 5.310165741553728E-12, 3.325216369226576E-12, 1.863386432757898E-12, 3.3252285078612684E-12, 1.8633898582477364E-12, 1.8633277353085237E-12
240, Flight58, LOWRISK3, 0.9999999997764936, 5.2276851483586954E-11, 5.227233379882909E-11, 3.292504450681876E-11, 1.853179435625386E-11, 3.292687379228932E-11, 1.853238269391119E-11, 1.8531208932994696E-11
240, Flight58, LOWRISK4, 0.999999999926981, 1.7482087710305986E-11, 1.748055603406343E-11, 1.099724121946521E-11, 6.183979650990544E-12, 1.0997494101519001E-11, 6.184059805353523E-12, 6.183784188961603E-12
240, Flight59, SELECTEE, 1.7516104758119217E-12, 2.223945740294697E-10, 2.222760406060305E-10, 0.20074631342534122, 0.4421625740343469, 0.04925368647752845, 0.06338816999505661, 0.24444925562379477
240, Flight59, UNKNOWN, 0.9999999999957079, 2.1817501963114972E-12, 2.1807814566232085E-12, 7.444705455138118E-13, 3.102707620958412E-13, 7.444534453877909E-13, 3.10268399082166E-13, 3.1025133821018215E-13
240, Flight59, LOWRISK1, 0.6868255689079827, 0.2457324715913776, 0.06744195949443345, 2.940420738896533E-12, 9.384553733263652E-13, 2.9403924974642754E-12, 9.384521160356558E-13, 9.383941110360652E-13
