RiskCategory, TimeWindow, Flight, attOnBody_coverage, attOnBody_payoff, attOnBody_utility, attInCarryOn_coverage, attInCarryOn_payoff, attInCarryOn_utility
LOWRISK1, 300, Flight72, 0.25000000104606485, 14999.999979078704, 2987.999995832478, 0.750000000508248, 4999.99998983504, 995.9999979751399
LOWRISK1, 300, Flight73, 0.25000000224063046, 14999.999955187392, 2987.999991073328, 0.7500000006482955, 4999.99998703409, 995.9999974171907
LOWRISK1, 300, Flight74, 0.2500000013558541, 37499.9999322073, 7469.9999864956935, 0.75000000054459, 12499.999972770498, 2489.999994575883
LOWRISK1, 300, Flight75, 0.41666666732778174, 52499.99994049965, 10457.999988147529, 0.7798498349196502, 19813.514857231483, 3946.852159560511
LOWRISK1, 300, Flight76, 0.25000000096402647, 22499.999971079207, 4481.999994238978, 0.7500000004986155, 7499.999985041535, 1493.9999970202737
LOWRISK1, 300, Flight77, 0.25000000182713644, 14999.99996345727, 2987.999992720688, 0.7500000005998374, 4999.999988003252, 995.9999976102478
LOWRISK1, 300, Flight78, 0.25000000092864816, 22499.999972140555, 4481.999994450398, 0.7500000004944598, 7499.999985166206, 1493.999997045108
LOWRISK1, 300, Flight79, 0.2500000018157865, 52499.99987289494, 10457.999974680672, 0.7500000005972677, 17499.999958191263, 3485.9999916716993
LOWRISK1, 300, Flight80, 0.25000000089694935, 44999.99994618304, 8963.99998927966, 0.750000000490732, 14999.999970556079, 2987.9999941347705
LOWRISK1, 300, Flight81, 0.2500000009305511, 7499.9999906944895, 1493.9999981463423, 0.7500000005065206, 2499.999994934794, 497.9999989910109
LOWRISK1, 300, Flight82, 0.2500000009826528, 52499.9999312143, 10457.999986297888, 0.750000000499933, 17499.999965004692, 3485.9999930289346
LOWRISK1, 300, Flight83, 0.3437500007533661, 52499.99993973072, 10457.999987994359, 0.7659415998411883, 18724.672012704938, 3729.954664930823
LOWRISK1, 300, Flight84, 0.25000000336199646, 52499.99976466025, 10457.999953120321, 0.7500000007777116, 17499.99994556019, 3485.9999891555894
LOWRISK1, 300, Flight85, 0.25000000135539985, 22499.999959338005, 4481.99999190013, 0.7500000005445369, 7499.999983663894, 1493.9999967458477
LOWRISK1, 300, Flight86, 0.2500000009286481, 22499.99997214056, 4481.999994450399, 0.7500000004944598, 7499.999985166206, 1493.999997045108
LOWRISK1, 300, Flight87, 0.25000000096465913, 44999.999942120456, 8963.999988470394, 0.7500000004986864, 14999.999970078814, 2987.9999940396997
LOWRISK1, 300, Flight88, 0.47500000061081393, 52499.999938918605, 10457.999987832585, 0.7914560417975661, 20854.395820243386, 4154.195647392482
LOWRISK1, 300, Flight89, 0.47500000059405784, 52499.99994059422, 10457.999988166368, 0.7917623636855229, 20823.763631447713, 4148.093715384384
LOWRISK1, 300, Flight90, 0.2500000010461328, 22499.99996861602, 4481.999993748311, 0.7500000005082553, 7499.99998475234, 1493.999996962666
LOWRISK1, 360, Flight61, 0.7810971313180542, 19701.258181375117, 3924.490629729923, 0.8219540064875501, 16024.139416120488, 3192.008571691201
LOWRISK1, 360, Flight63, 0.7353445079832591, 5293.109840334818, 1054.3874801946956, 0.8075831054674387, 3848.3378906512257, 766.5889078177241
LOWRISK1, 360, Flight64, 0.7804185191334883, 19762.333277986058, 3936.6567889748226, 0.8217770059938478, 16040.069460553694, 3195.1818365422955
LOWRISK1, 360, Flight65, 0.766176717715, 11691.164114250003, 2328.8798915586003, 0.8171605740381102, 9141.971298094491, 1821.0806825804225
LOWRISK1, 360, Flight66, 0.7817894406709299, 19638.950339616305, 3912.078907651568, 0.8221364343899105, 16007.720904908057, 3188.7380042576847
LOWRISK1, 360, Flight67, 0.7601362358939682, 9594.550564241274, 1911.2344723968615, 0.8155820754274061, 7376.716982903755, 1469.4420229944278
LOWRISK1, 360, Flight68, 0.7596816365451005, 7209.550903646987, 1436.1425400064797, 0.8153560496250667, 5539.318511248, 1103.4322474406015
LOWRISK1, 360, Flight69, 0.7549951050192438, 14700.293698845371, 2928.2985048099977, 0.8125400952610359, 11247.594284337847, 2240.520781440099
LOWRISK1, 360, Flight70, 0.7448905440131145, 10204.37823947542, 2032.7121453035036, 0.8099091106322696, 7603.6355747092175, 1514.644206482076
LOWRISK1, 360, Flight71, 0.756346286670647, 4873.074266587061, 970.7163939041425, 0.8143787814650442, 3712.4243706991165, 739.5149346432639
LOWRISK1, 360, Flight72, 0.7543722948532958, 4912.554102934084, 978.5807773044694, 0.8139589432802734, 3720.821134394532, 741.1875699713906
LOWRISK1, 360, Flight74, 0.766176717715, 11691.164114250003, 2328.8798915586003, 0.8171605740381102, 9141.971298094491, 1821.0806825804225
LOWRISK1, 360, Flight75, 0.7729251324226455, 20436.738081961907, 4070.9982259268118, 0.8179563473584339, 16383.928737740947, 3263.6786045579966
LOWRISK1, 360, Flight76, 0.7587332857839497, 7238.001426481508, 1441.8098841551164, 0.8151393886455272, 5545.818340634185, 1104.7270134543296
LOWRISK1, 360, Flight77, 0.7353445079832592, 5293.109840334815, 1054.3874801946952, 0.8075831054674387, 3848.3378906512257, 766.5889078177241
LOWRISK1, 360, Flight78, 0.7596816365451005, 7209.550903646987, 1436.1425400064797, 0.8153560496250667, 5539.318511248, 1103.4322474406015
LOWRISK1, 360, Flight80, 0.7695339387841931, 13827.963672948415, 2754.530363651324, 0.8181567296990196, 10910.596218058821, 2173.390766637317
LOWRISK1, 360, Flight81, 0.7516110968236402, 2483.8890317635974, 494.79069512730854, 0.8132577651645654, 1867.4223483543462, 371.9905317921858
LOWRISK1, 360, Flight82, 0.7738990294788094, 15827.067936483341, 3152.7519329474812, 0.8194701280156128, 12637.091038907103, 2517.308534950295
LOWRISK1, 360, Flight83, 0.7668112162999684, 18655.102696002526, 3716.096457043703, 0.815973610935021, 14722.111125198322, 2932.6445361395054
LOWRISK1, 360, Flight85, 0.7395856532925476, 7812.430401223573, 1556.2361359237357, 0.8086835095175391, 5739.494714473827, 1143.3073471231862
LOWRISK1, 360, Flight86, 0.7592081196326794, 7223.756411019617, 1438.9722770751077, 0.8152474796045203, 5542.575611864392, 1104.0810618833868
LOWRISK1, 360, Flight87, 0.7695339387841931, 13827.963672948415, 2754.530363651324, 0.8181567296990196, 10910.596218058821, 2173.390766637317
LOWRISK1, 360, Flight88, 0.7842650548898616, 21573.494511013836, 4297.4401065939555, 0.8230295934393651, 17697.04065606349, 3525.250498687847
LOWRISK1, 360, Flight89, 0.7839723710338605, 21602.76289661395, 4303.270369005499, 0.8229477702348279, 17705.22297651721, 3526.8804169222276
LOWRISK1, 360, Flight90, 0.7587332857839497, 7238.001426481508, 1441.8098841551164, 0.8151393886455272, 5545.818340634185, 1104.7270134543296
LOWRISK2, 240, Flight1, 0.25000000134920575, 22499.999959523826, 2240.999995968573, 0.7500000005460619, 7499.999983618144, 746.9999983683671
LOWRISK2, 240, Flight2, 0.250000000801067, 14999.99998397866, 1493.9999984042745, 0.7500000004797484, 4999.999990405033, 497.9999990443412
LOWRISK2, 240, Flight3, 0.2500000007592226, 44999.99995444665, 4481.999995462886, 0.7500000004732194, 14999.99997160684, 1493.999997172041
LOWRISK2, 240, Flight4, 0.35714285537741214, 45000.00012358116, 4482.000012308683, 0.750000000772643, 17499.999945914995, 1742.9999946131334
LOWRISK2, 240, Flight5, 0.2500000009426476, 44999.999943441144, 4481.999994366738, 0.7500000004959922, 14999.999970240466, 1493.9999970359504
LOWRISK2, 240, Flight6, 0.2500000007197779, 29999.999971208883, 2987.9999971324046, 0.7500000004697889, 9999.999981208444, 995.999998128361
LOWRISK2, 240, Flight7, 0.25000000134920575, 22499.999959523826, 2240.999995968573, 0.7500000005460619, 7499.999983618144, 746.9999983683671
LOWRISK2, 240, Flight8, 0.4999999988264079, 45000.00010562329, 4482.000010520079, 0.7500000008687326, 22499.999921814062, 2240.9999922126804
LOWRISK2, 240, Flight9, 0.25000000067741524, 37499.99996612924, 3734.999996626472, 0.75000000046456, 12499.999976772002, 1244.9999976864913
LOWRISK2, 240, Flight10, 0.25000000080123996, 29999.9999679504, 2987.9999968078596, 0.7500000004797647, 9999.999980809413, 995.9999980886174
LOWRISK2, 240, Flight11, 0.2500000014813184, 7499.999985186816, 746.9999985246068, 0.7500000005779712, 2499.9999942202876, 248.99999942434064
LOWRISK2, 240, Flight12, 0.250000000744239, 29999.99997023044, 2987.999997034952, 0.7500000004727922, 9999.99998108831, 995.9999981163955
LOWRISK2, 240, Flight13, 0.25000000134920575, 22499.999959523826, 2240.999995968573, 0.7500000005460619, 7499.999983618144, 746.9999983683671
LOWRISK2, 240, Flight14, 0.25000000074441797, 37499.999962779104, 3734.9999962927986, 0.7500000004728091, 12499.999976359544, 1244.9999976454105
LOWRISK2, 240, Flight15, 0.35714285540321455, 45000.00012177498, 4482.000012128788, 0.7500000008133717, 17499.99994306398, 1742.9999943291723
LOWRISK2, 240, Flight16, 0.3571428552474405, 45000.00013267917, 4482.000013214845, 0.7500000005641857, 17499.999960507, 1742.9999960664973
LOWRISK2, 240, Flight17, 0.2500000006771937, 22499.99997968419, 2240.9999979765453, 0.7500000004645425, 7499.9999860637245, 746.9999986119469
LOWRISK2, 240, Flight18, 0.35714285525191564, 45000.00013236591, 4482.000013183644, 0.7500000005715174, 17499.999959993784, 1742.9999960153807
LOWRISK2, 240, Flight19, 0.49999999865068784, 45000.0001214381, 4482.0000120952345, 0.750000000580233, 22499.999947779033, 2240.9999947987917
LOWRISK2, 240, Flight20, 0.2500000017347596, 44999.99989591442, 4481.999989633076, 0.750000000589564, 14999.999964626162, 1493.9999964767658
LOWRISK2, 240, Flight21, 0.2500000008345584, 22499.999974963248, 2240.9999975063392, 0.7500000004838318, 7499.999985485048, 746.9999985543107
LOWRISK2, 240, Flight22, 0.2500000011559495, 37499.99994220252, 3734.999994243371, 0.7500000005227485, 12499.999973862574, 1244.9999973967124
LOWRISK2, 240, Flight23, 0.25000000134906536, 14999.999973018694, 1493.999997312662, 0.750000000546047, 4999.9999890790605, 497.9999989122744
LOWRISK2, 240, Flight24, 0.49999999879470464, 45000.00010847659, 4482.000010804268, 0.7500000008171124, 22499.999926459885, 2240.9999926754044
